Pos	Num	Player Name                   	Status	TCKL	SCK	INT	Team
DB	30	Lammons, Chris                	ACT	--	--	--	MIA
CB	6	Lampkin, Ashton               	ACT	--	--	--	CLE
CB	23	Lattimore, Marshon            	ACT	59	0.0	2	NO
CB	24	Lawson, Nevin                 	ACT	53	1.0	--	OAK
CB	34	LeBlanc, Cre'von              	ACT	27	0.0	0	PHI
DB	32	Leavitt, Dallin               	ACT	1	0.0	--	OAK
DB	41	Levine, Anthony               	ACT	28	1.0	1	BAL
CB	27	Lewis, Jourdan                	ACT	12	0.0	1	DAL
SS	28	Lewis, Kendrick               	UFA	27	0.0	--	TEN
CB	38	Lewis, Ryan                   	ACT	15	0.0	--	BUF
DB	24	Lippett, Tony                 	ACT	1	0.0	--	NYG
DB	24	Luani, Shalom                 	ACT	9	0.0	--	SEA
SS	24	Lucas, Jordan                 	ACT	32	1.0	1	KC
CB	32	Luke, Cole                    	ACT	--	--	--	CAR
CB	26	Mabin, Greg                   	ACT	16	0.0	--	SF
FS	29	Maddox, Avonte                	ACT	35	0.5	2	PHI
CB	49	Mager, Craig                  	UFA	0	0.0	0	DEN
DB	42	Maragos, Chris                	UFA	--	--	--	PHI
SS	31	Marlowe, Dean                 	ACT	5	0.0	--	BUF
DB	36	Marshall, Trey                	ACT	0	--	--	DEN
DB		Martin, Jordan                	ACT	--	--	--	MIN
DB	20	Martin, Ronald                	UFA	--	--	--	IND
DB		Maston, Mercy                 	ACT	--	--	--	PHI
FS	32	Mathieu, Tyrann               	ACT	89	3.0	2	KC
DB	38	Matthews, Tray                	ACT	--	--	--	GB
CB	32	Maulet, Arthur                	ACT	9	0.0	0	NYJ
DB	41	Maxwell, Byron                	ACT	--	--	--	SEA
FS	26	Maye, Marcus                  	ACT	34	0.5	1	NYJ
CB	28	McCain, Bobby                 	ACT	61	2.0	1	MIA
FS	32	McCourty, Devin               	ACT	82	0.0	1	NE
CB	30	McCourty, Jason               	ACT	70	0.0	1	NE
CB	23	McDonald, Dexter              	UFA	--	--	--	OAK
SS	22	McDonald, T.J.                	ACT	86	0.0	3	MIA
SS	30	McDougald, Bradley            	ACT	78	0.0	3	SEA
DB	33	McFadden, Tarvarus            	ACT	--	--	--	SF
DB	36	McKinnon, Jeremiah            	ACT	1	0.0	--	PHI
FS	23	McLeod, Rodney                	ACT	10	0.0	--	PHI
DB	27	McManis, Sherrick             	ACT	26	1.0	1	CHI
DB	34	McQuay, Leon III              	ACT	0	--	--	KC
CB	29	McRae, Tony                   	ACT	9	0.0	--	CIN
CB	24	McTyer, Torry                 	ACT	30	0.0	--	MIA
DB	36	Meander, Montrel              	ACT	0	--	--	OAK
CB	43	Meeks, Quenton                	ACT	8	0.0	--	JAX
DB	22	Melifonwu, Obi                	ACT	3	0.0	--	NE
CB	22	Melvin, Rashaan               	ACT	56	0.0	1	DET
FS	36	Middleton, Doug               	ACT	27	0.0	--	NYJ
DB	45	Miles, Rontez                 	UFA	11	0.0	--	NYJ
CB	48	Miller, Harlan                	ACT	0	--	--	WAS
DB	42	Milligan, Rolan               	ACT	0	--	--	IND
CB	31	Mills, Jalen                  	ACT	42	0.0	--	PHI
CB	28	Milton, Chris                 	ACT	10	0.0	--	IND
DB	25	Mincy, Jonathon               	ACT	--	--	--	CHI
CB	37	Mitchel, Tevin                	UFA	--	--	--	OAK
SS	34	Mitchell, Mike                	UFA	28	0.0	1	IND
CB	39	Mitchell, Terrance            	ACT	38	0.0	1	CLE
DB	33	Moore, A.J.                   	ACT	11	0.0	--	HOU
DB	36	Moore, Corey                  	UFA	12	0.0	1	IND
CB	29	Moore, Kam                    	ACT	0	--	--	NYG
CB	23	Moore, Kenny                  	ACT	77	1.5	3	IND
DB	33	Moore, Tarvarius              	ACT	23	0.0	--	SF
CB	31	Moreau, Fabian                	ACT	58	0.0	1	WAS
DB	41	Moseley, Emmanuel             	ACT	1	0.0	--	SF
CB	25	Moxey, Jonathan               	ACT	--	--	--	ARI
DB	41	Munnerlyn, Captain            	UFA	47	2.0	1	CAR
SS	21	Murray, Eric                  	ACT	55	0.0	1	CLE
DB	38	Mutcherson, Tevon             	ACT	--	--	--	SEA
DB	31	Nacua, Kai                    	ACT	--	--	--	CAR
SS	22	Neal, Keanu                   	ACT	2	0.0	--	ATL
DB	40	Neal, Ryan                    	ACT	0	--	--	ATL
DB	29	Neal, Siran                   	ACT	11	1.0	--	BUF
DB	41	Neasman, Sharrod              	ACT	44	0.0	--	ATL
CB	23	Nelson, Nick                  	ACT	20	0.0	--	OAK
FS	27	Nelson, Reggie                	UFA	29	0.0	2	OAK
CB	20	Nelson, Steven                	ACT	68	0.0	4	PIT
CB	39	Nichols, Deatrick             	ACT	1	0.0	--	ARI
SS	35	Nicholson, Montae             	ACT	41	0.0	--	WAS
DB	43	Nickerson, Parry              	ACT	21	0.0	--	NYJ
CB	24	Norman, Josh                  	ACT	64	0.0	3	WAS
DB	30	Odum, George                  	ACT	36	0.0	1	IND
FS	20	Oliver, Isaiah                	ACT	23	0.0	1	ATL
CB	32	Olumba, Donovan               	ACT	--	--	--	DAL
DB	42	Owens, Jonathan               	ACT	--	--	--	ARI
DB	38	Parker, Steven                	ACT	--	--	--	LA
SS	34	Parks, Will                   	ACT	41	0.0	1	DEN
DB	25	Parms, Damian                 	ACT	--	--	--	CAR
DB	23	Patmon, Tyler                 	UFA	14	0.0	--	JAX
FS	22	Peppers, Jabrill              	ACT	79	1.0	1	NYG
CB	22	Peters, Marcus                	ACT	43	0.0	3	LA
CB	25	Peterson, Kevin               	ACT	--	--	--	LA
CB	21	Peterson, Patrick             	ACT	54	1.0	2	ARI
DB	31	Phillips, Adrian              	ACT	94	0.0	1	LAC
CB	23	Phillips, Darius              	ACT	22	0.0	--	CIN
CB	41	Pipkins, Lenzy                	ACT	9	0.0	0	CLE
CB	30	Pitts, Lafayette              	ACT	9	0.0	--	BUF
DB	35	Pleasant, Eddie               	UFA	8	0.0	0	GB
CB	34	Poole, Brian                  	ACT	74	3.0	3	NYJ
DB	30	Powell, Tyvis                 	UFA	6	0.0	--	SF
FS	21	Poyer, Jordan                 	ACT	100	2.0	4	BUF
FS	27	Quin, Glover                  	UFA	74	1.0	--	DET
CB	20	Ramsey, Jalen                 	ACT	65	0.0	3	JAX
SS	23	Randall, Damarious            	ACT	85	0.0	4	CLE
CB	30	Reaser, Keith                 	ACT	--	--	--	KC
DB	45	Reaves, Jeremy                	ACT	0	--	--	WAS
DB	38	Reavis, C.J.                  	ACT	1	0.0	--	JAX
CB	25	Redmond, Will                 	ACT	1	0.0	--	GB
FS	32	Reed, D.J.                    	ACT	41	1.0	--	SF
DB	39	Reed, Kalan                   	ACT	0	--	--	SEA
SS	25	Reid, Eric                    	ACT	71	1.0	1	CAR
SS	20	Reid, Justin                  	ACT	88	0.0	3	HOU
CB	29	Rhodes, Xavier                	ACT	47	0.0	1	MIN
DB	37	Rice, Denzel                  	ACT	5	0.0	1	BUF
DB	29	Richards, Jeff                	ACT	5	0.0	--	LAC
FS	29	Richards, Jordan              	ACT	39	0.0	--	OAK
DB	47	Richards, Ramon               	ACT	--	--	--	LA
CB	38	Richardson, Horace            	ACT	0	--	--	DEN
FS	35	Riley, Curtis                 	ACT	75	0.0	4	OAK
CB	37	Rivers, David                 	ACT	0	--	--	TB
CB	27	Roberts, Darryl               	UFA	48	0.0	1	NYJ
DB	23	Robey-Coleman, Nickell        	ACT	37	0.0	1	LA
DB	32	Robinson, Josh                	UFA	6	0.0	--	NO
DB	21	Robinson, Patrick             	ACT	6	0.0	--	NO
CB	30	Robinson, Rashard             	ACT	8	0.0	--	NYJ
DB	49	Robinson, Tyree               	ACT	0	0.0	0	SF
CB	29	Roby, Bradley                 	ACT	50	0.0	1	HOU
CB	45	Rodgers-Cromartie, Dominique  	ACT	8	0.0	--	WAS
CB	25	Rowe, Eric                    	ACT	10	0.0	--	MIA
CB	20	Russell, KeiVarae             	ACT	12	0.0	--	CIN
CB	26	Ryan, Logan                   	ACT	76	4.0	--	TEN
DB	25	Sankoh, Tigie                 	ACT	--	--	--	CLE
DB	22	Scandrick, Orlando            	UFA	44	0.0	1	KC
SS	21	Searcy, Da'Norris             	ACT	5	0.0	--	CAR
SS	34	Sendejo, Andrew               	ACT	27	0.0	--	PHI
CB	24	Sensabaugh, Coty              	UFA	45	0.0	--	PIT
CB	27	Seymour, Kevon                	ACT	--	--	--	CAR
CB	30	Shaw, Josh                    	ACT	12	0.0	0	ARI
DB	26	Shead, DeShawn                	UFA	18	0.0	--	DET
DB	35	Sherels, Marcus               	ACT	0	--	--	NO
CB	25	Sherman, Richard              	ACT	37	1.0	--	SF
CB	37	Shields, Sam                  	UFA	22	0.0	1	LA
DB	28	Showers, Jameill              	ACT	--	--	--	DAL
FS	31	Simmons, Justin               	ACT	97	0.0	3	DEN
CB	36	Sims, LeShaun                 	ACT	22	0.0	--	TEN
CB	41	Skrine, Buster                	ACT	58	0.5	--	CHI
CB	23	Slay, Darius                  	ACT	43	0.0	3	DET
DB	36	Smith, Derron                 	ACT	--	--	--	MIN
FS	22	Smith, Harrison               	ACT	84	3.0	3	MIN
CB	22	Smith, Jimmy                  	ACT	45	0.0	2	BAL
DB	26	Smith, Maurice                	ACT	5	0.0	--	MIA
CB	29	Smith, Ryan                   	ACT	38	0.0	1	TB
DB	39	Smith, Tremon                 	ACT	5	0.0	--	KC
CB	23	Smith, Tye                    	ACT	--	--	--	TEN
DB	49	Sorensen, Daniel              	ACT	26	0.0	1	KC
DB	38	Springs, Arrion               	ACT	--	--	--	LAC
CB	40	Stephens, Linden              	ACT	--	--	--	DEN
SS	26	Stewart, Darian               	UFA	60	1.0	2	DEN
CB	36	Stewart, M.J.                 	ACT	33	0.0	--	TB
DB	45	Stewart, Orion                	ACT	--	--	--	TB
CB	37	Stroman, Greg                 	ACT	38	0.0	1	WAS
DB	39	Sullivan, Chandon             	ACT	7	0.0	--	PHI
DB	37	Sullivan, Tre                 	ACT	17	0.0	--	PHI
CB	20	Sutton, Cameron               	ACT	22	0.0	1	PIT
FS	35	Swearinger, D.J.              	ACT	53	1.0	4	ARI
CB	31	Tabor, Teez                   	ACT	28	0.0	--	DET
CB	21	Talib, Aqib                   	ACT	23	0.0	1	LA
CB	23	Tankersley, Cordrea           	ACT	5	0.0	--	MIA
SS	29	Tartt, Jaquiski               	ACT	42	0.0	1	SF
CB	39	Taylor, Jamar                 	UFA	18	0.0	0	DEN
DB	35	Thomas, Dymonte               	ACT	12	1.0	1	DEN
FS	29	Thomas, Earl                  	ACT	22	0.0	3	BAL
DB	31	Thomas, Michael               	ACT	59	1.0	2	NYG
DB	26	Thomas, Duke                  	ACT	--	--	--	MIN
DB	38	Thomas, Shamarko              	ACT	7	0.0	--	DEN
DB	34	Thomas, Simeon                	ACT	--	--	--	SEA
CB	27	Thomas, Tavierre              	ACT	8	0.0	--	CLE
DB	20	Thompson, Darian              	ACT	0	--	--	DAL
DB	32	Thompson, Jason               	ACT	--	--	--	GB
FS	33	Thompson, Tedric              	ACT	57	0.0	1	SEA
CB	36	Thornton, Josh                	ACT	--	--	--	CAR
DB	23	Thorpe, Neiko                 	ACT	7	0.0	--	SEA
CB	39	Tocho, Jack                   	ACT	--	--	--	PIT
DB	42	Toliver, Henre'               	ACT	--	--	--	NYG
DB	22	Toliver, Kevin                	ACT	16	0.0	--	CHI
DB	41	Trawick, Brynden              	UFA	8	0.0	--	TEN
CB	21	Trufant, Desmond              	ACT	66	1.0	--	ATL
DB	34	Tyson, Mike                   	ACT	5	0.0	--	HOU
SS	24	Vaccaro, Kenny                	ACT	58	2.0	1	TEN
DB	22	Verrett, Jason                	ACT	--	--	--	SF
DB	30	Virgin, Dee                   	ACT	1	0.0	--	DET
DB	40	Wade, D'Montre                	ACT	--	--	--	KC
DB	47	Walker, Tracy                 	ACT	21	0.0	1	DET
DB	47	Wallace, Levi                 	ACT	37	0.0	--	BUF
CB	35	Ward, Charvarius              	ACT	30	0.0	--	KC
CB	21	Ward, Denzel                  	ACT	53	0.0	3	CLE
